pmid,first_author,year,journal,title,topic,claim_supported,evidence_type,evidence_strength,direction
36550569,Lin SC,2022,J Biomed Sci,Periostin promotes ovarian cancer metastasis by enhancing M2 macrophages and cancer-associated fibroblasts via integrin-mediated NF-κB and TGF-β2 signaling.,receptor_cancer,"Periostin colocalised with integrin beta-3 and beta-5 in ovarian cancer cells and drove integrin/ERK/NF-kB signalling; POSTN overexpression increased migration, invasion and in vivo metastasis while knockdown reduced them.",in_vitro,moderate,supports
37417362,Jin Y,2023,Int J Oncol,Overexpression of SERPINA3 suppresses tumor progression by modulating SPOP/NF‑κB in lung cancer.,receptor_cancer,"SERPINA3 was downregulated in lung cancer tissues and cell lines, and overexpression inhibited growth, migration and invasion and slowed xenograft growth - i.e. tumour-suppressive in lung cancer.",in_vitro,moderate,contradicts
37497001,Yang Y,2023,Int J Biol Sci,CXCL12-CXCR4/CXCR7 Axis in Cancer: from Mechanisms to Clinical Applications.,receptor_cancer,"Review establishing the CXCL12-CXCR4/CXCR7 axis as a driver of tumour proliferation, survival, angiogenesis and metastasis across multiple cancers.",review,strong,supports
38151776,Sasahara M,2023,Int J Cancer,Therapeutic antibody targeting natriuretic peptide receptor 1 inhibits gastric cancer growth via BCL-2-mediated intrinsic apoptosis.,receptor_cancer,"NPR1 mRNA was upregulated in gastric cancer cell lines, silencing attenuated proliferation, invasion and migration, and an anti-NPR1 antibody reduced peritoneal tumour burden in xenografted mice; high tumour NPR1 predicted recurrence and poorer prognosis.",mechanistic_animal,moderate,supports
40444048,Zhou S,2025,Front Pharmacol,Pan-cancer profiling of FZD2 as a prognostic biomarker: integrative multi-omics analysis with experimental validation and functional characterization in gastric cancer.,receptor_cancer,"Pan-cancer multi-omics profiling found FZD2 significantly upregulated in several malignancies including stomach, bladder and cholangiocarcinoma, with siRNA knockdown reducing gastric cancer proliferation and xenograft growth.",in_vitro,moderate,supports
28104796,Fuster JJ,2017,Science,Clonal hematopoiesis associated with TET2 deficiency accelerates atherosclerosis development in mice.,reverse_cardio_oncology,"TET2-deficient clonal haematopoiesis markedly increased atherosclerotic plaque size in Ldlr-null mice with increased NLRP3-mediated IL-1beta secretion, giving a causal mechanism for the CHIP-CVD link.",mechanistic_animal,strong,supports
28636844,Jaiswal S,2017,N Engl J Med,Clonal Hematopoiesis and Risk of Atherosclerotic Cardiovascular Disease.,reverse_cardio_oncology,"CHIP carriers had 1.9-fold higher coronary heart disease risk and 4.0-fold higher early-onset MI risk; Tet2 perturbation in atherosclerosis-prone mice supported causality, establishing a somatic-mutation substrate shared by haematologic cancer and CVD.",human_observational,strong,supports
28855077,Ridker PM,2017,Lancet,"Effect of interleukin-1β inhibition with canakinumab on incident lung cancer in patients with atherosclerosis: exploratory results from a randomised, double-blind, placebo-controlled trial.",reverse_cardio_oncology,"In CANTOS, IL-1beta inhibition with canakinumab reduced incident lung cancer in patients with atherosclerosis and elevated hsCRP, providing randomised human evidence that an inflammatory pathway shared with CVD is causal for cancer incidence.",human_interventional,strong,supports
29459363,Meijers WC,2018,Circulation,Heart Failure Stimulates Tumor Growth by Circulating Factors.,reverse_cardio_oncology,"Myocardial infarction-induced HF increased intestinal tumour load 2.4-fold in APC-mutant mice, including in a heterotopic transplant model that excludes haemodynamic impairment; candidate secreted mediators included serpinA3, serpinA1, fibronectin and ceruloplasmin.",mechanistic_animal,strong,supports
30689420,Meijers WC,2019,Circulation,"Response by Meijers and de Boer to Letters Regarding Article, ""Heart Failure Stimulates Tumor Growth by Circulating Factors"".",reverse_cardio_oncology,"PubMed records two Letters (Comment type) on the 2018 Meijers HF-tumour paper plus this published Response by the original authors, documenting that the causal interpretation was contested in print; the letters carry no abstract so their specific arguments are not verifiable from the bibliographic record.",review,weak,neutral
31406340,Jaiswal S,2019,Nat Rev Cardiol,Clonal haematopoiesis: connecting ageing and inflammation in cardiovascular disease.,reverse_cardio_oncology,"Review positioning CHIP as a common condition connecting ageing, inflammation, haematological cancer and a doubling of atherosclerotic CVD risk.",review,strong,supports
31960736,Aboumsallem JP,2020,J Am Heart Assoc,Reverse Cardio-Oncology: Cancer Development in Patients With Cardiovascular Disease.,reverse_cardio_oncology,Names and defines 'reverse cardio-oncology' as cancer development in patients with cardiovascular disease.,review,moderate,supports
32475164,Avraham S,2020,Circulation,Early Cardiac Remodeling Promotes Tumor Growth and Metastasis.,reverse_cardio_oncology,"Pressure-overload cardiac remodelling by transverse aortic constriction, without overt heart failure, produced larger primary tumours and more metastases; serum from TAC mice promoted cancer cell proliferation, and periostin depletion from that serum abolished the effect.",mechanistic_animal,strong,supports
32661390,Koelwyn GJ,2020,Nat Med,Myocardial infarction accelerates breast cancer via innate immune reprogramming.,reverse_cardio_oncology,"Myocardial infarction accelerated breast tumour outgrowth in mice via epigenetic reprogramming of Ly6C-high bone marrow monocytes to an immunosuppressive phenotype; monocyte depletion abrogated the effect, and early-stage breast cancer patients with post-diagnosis cardiovascular events had higher recurrence and cancer-specific death.",mechanistic_animal,strong,supports
33094495,de Boer RA,2020,Eur J Heart Fail,Common mechanistic pathways in cancer and heart failure. A scientific roadmap on behalf of the Translational Research Committee of the Heart Failure Association (HFA) of the European Society of Cardiology (ESC).,reverse_cardio_oncology,"HFA/ESC scientific roadmap on common mechanistic pathways in cancer and HF, identifying inflammation, metabolic reprogramming, clonal haematopoiesis, angiogenesis and stroma as shared, and calling for models where both pathologies coexist.",review,moderate,neutral
33195486,Ausoni S,2020,Front Cardiovasc Med,Development of Cancer in Patients With Heart Failure: How Systemic Inflammation Can Lay the Groundwork.,reverse_cardio_oncology,"Review proposing chronic low-grade systemic inflammation and cardiokine secretion as the pathophysiological link from failing heart to carcinogenesis, while critically discussing the limitations of the supporting studies.",review,moderate,supports
33832602,Pascual-Figal DA,2021,J Am Coll Cardiol,Clonal Hematopoiesis and Risk of Progression of Heart Failure With Reduced Left Ventricular Ejection Fraction.,reverse_cardio_oncology,"In 62 HF patients with LVEF<45%, DNMT3A or TET2 CHIP mutations were associated with accelerated HF progression (death HR 2.79; death or HF hospitalisation HR 3.84) irrespective of ischaemic aetiology.",human_observational,moderate,supports
35385050,Svensson EC,2022,JAMA Cardiol,TET2-Driven Clonal Hematopoiesis and Response to Canakinumab: An Exploratory Analysis of the CANTOS Randomized Clinical Trial.,reverse_cardio_oncology,"Exploratory CANTOS analysis of TET2-driven clonal haematopoiesis and cardiovascular response to canakinumab, in which TET2 variants were more common than DNMT3A in this hsCRP-selected population.",human_interventional,moderate,supports
36049115,Evans MA,2022,Physiol Rev,"Clonal hematopoiesis, somatic mosaicism, and age-associated disease.",reverse_cardio_oncology,"Physiological Reviews synthesis of clonal haematopoiesis and age-associated disease, noting most CHIP carriers never develop blood cancer while CHIP still associates with all-cause mortality and cardiovascular disease.",review,strong,neutral
36454121,Reed SC,2023,Clin Cancer Res,CHIP Happens: Clonal Hematopoiesis of Indeterminate Potential and Its Relationship to Solid Tumors.,reverse_cardio_oncology,"Review reporting high rates of CHIP in patients with solid tumours, driven partly by oncologic therapy, and associations between CHIP and differential solid-tumour outcomes.",review,moderate,supports
37681311,Cochran JD,2023,Circulation,Clonal Hematopoiesis in Clinical and Experimental Heart Failure With Preserved Ejection Fraction.,reverse_cardio_oncology,"TET2-mediated clonal haematopoiesis was enriched in HFpEF patients versus controls (12% vs 0%) and associated with worse diastolic dysfunction, with causality tested in a murine model.",human_observational,moderate,supports
38139195,Langier Goncalves I,2023,Int J Mol Sci,Heart Failure Promotes Cancer Progression in an Integrin β1-Dependent Manner.,reverse_cardio_oncology,"In Postn-knockout mice, cardiac-remodelling-dependent tumour promotion persisted, whereas integrin beta-1 loss-of-function in cancer cells abolished it, indicating the effect is mediated by multiple integrin-binding ligands rather than periostin alone.",mechanistic_animal,moderate,supports
38510296,Tani T,2023,JACC CardioOncol,Heart Failure Post-Myocardial Infarction Promotes Mammary Tumor Growth Through the NGF-TRKA Pathway.,reverse_cardio_oncology,Post-MI heart failure promoted 4T1 mammary tumour growth in BALB/c mice through elevated circulating NGF acting on TRKA-PI3K-AKT; TRKA inhibition suppressed tumour volume in MI mice.,mechanistic_animal,moderate,supports
38487879,Caller T,2024,Circulation,Small Extracellular Vesicles From Infarcted and Failing Heart Accelerate Tumor Growth.,reverse_cardio_oncology,"Small extracellular vesicles from post-MI hearts and cardiac mesenchymal stromal cells carried protumorigenic cargo and accelerated lung tumour growth on adoptive transfer; the effect differed by cancer type, being larger for lung and colon than for melanoma and breast lines.",mechanistic_animal,moderate,supports
40064512,Karakasis P,2025,Eur J Heart Fail,Association of clonal haematopoiesis with heart failure incidence and outcomes: A systematic review and meta-analysis.,reverse_cardio_oncology,"Meta-analysis of 57,755 participants found clonal haematopoiesis associated with incident HF (HR 1.23, 95% CI 1.12-1.35) and, in established HF, with all-cause mortality (HR 1.95).",meta_analysis,strong,supports
40983491,Meijers WC,2025,Physiol Rev,Forward and reverse cardio-oncology.,reverse_cardio_oncology,"Comprehensive Physiological Reviews treatment of forward and reverse cardio-oncology, describing HF-driven tumour promotion via a protumour cardiac secretome, immune modulation and the gut microbiome, and explicitly posing shared risk factors as the alternative explanation.",review,moderate,supports
