permutation,total_pairs_primary,total_pairs_sens_incl_observed,total_pairs_sens_with_replacement,drawn_set_primary
280,20,25,25,IGF2R|NRP1|LRP1|TNFRSF1A|ITGB5|SORT1|ITGB4
281,26,35,38,ITGB1|TGFBR2|ERBB2|ITGA6|CD44|ITGB5|IGF2R
282,31,26,23,ITGA6|NRP2|CD44|IGF2R|ITGB5|ERBB3|SORT1
283,27,22,29,ITGB1|TGFBR2|CD44|SORT1|ITGA6|IGF2R|ITGB4
284,33,35,39,SORT1|ACVR1B|ITGB5|ERBB3|ITGA6|LRP1|ITGB4
285,31,29,30,ITGB4|NTRK2|CD44|LRP1|IGF2R|ERBB3|ERBB2
286,22,29,30,IGF2R|TGFBR2|LRP1|ITGB4|CD44|ITGB5|TNFRSF1A
287,25,25,24,SORT1|NRP2|ERBB3|ITGB1|ERBB2|ITGB5|LRP1
288,33,27,34,CD44|PLXNA1|ITGA6|TNFRSF1A|IGF2R|LRP1|ITGB1
289,27,35,22,ITGA6|TGFBR2|SORT1|IGF2R|ERBB2|TNFRSF1A|ERBB3
290,25,26,18,ERBB3|NRP1|LRP1|ERBB2|TNFRSF1A|SORT1|ITGB5
291,24,18,12,SORT1|FLT1|ITGB1|ERBB2|IGF2R|ITGB5|ITGB4
292,31,34,41,LRP1|PDGFRB|ITGB4|ITGB5|ITGA6|ERBB2|SORT1
293,29,28,21,ERBB2|ACVR1B|LRP1|ITGB4|SORT1|ITGA6|ITGB1
294,31,24,26,ERBB3|FGFR1|LRP1|ITGB4|SORT1|ITGA6|ITGB5
295,37,30,29,ITGB1|FLT1|ERBB3|ITGB5|CD44|ERBB2|ITGB4
296,39,30,29,ITGB4|PLXNA1|ERBB2|ITGA6|IGF2R|ITGB1|TNFRSF1A
297,38,32,25,ITGB5|FLT1|CD44|ERBB3|ITGB4|LRP1|ITGA6
298,22,26,19,IGF2R|FGFR1|ITGB4|ITGB5|ITGB1|ERBB2|LRP1
299,23,23,25,TNFRSF1A|BMPR2|ITGB5|ERBB2|IGF2R|ITGB1|ITGA6
300,24,31,33,IGF2R|BMPR2|ITGA6|CD44|ERBB2|TNFRSF1A|LRP1
301,21,32,19,LRP1|LRP5|ERBB2|ITGB1|SORT1|ITGB4|ITGB5
302,13,29,30,ITGB5|NTRK2|SORT1|LRP1|IGF2R|TNFRSF1A|ITGB1
303,27,23,21,TNFRSF1A|LRP5|CD44|SORT1|ITGB4|LRP1|ITGA6
304,30,26,32,ERBB3|NRP1|TNFRSF1A|LRP1|ITGA6|ITGB5|ITGB1
305,29,26,26,ITGA6|IGF1R|LRP1|SORT1|ERBB2|ITGB4|TNFRSF1A
306,36,28,30,CD44|TNFRSF12A|SORT1|ITGB5|ITGB1|ERBB2|ITGB4
307,32,24,39,ITGB1|ACVR1B|ERBB2|ERBB3|ITGB5|IGF2R|ITGA6
308,36,23,23,IGF2R|PLXNA1|ITGB1|CD44|TNFRSF1A|ITGB5|ERBB3
309,27,33,29,CD44|FLT1|ERBB2|SORT1|TNFRSF1A|LRP1|ITGA6
310,37,31,32,IGF2R|FLT1|ITGA6|ITGB1|ERBB2|ITGB4|ERBB3
311,25,35,28,ERBB2|LRP5|TNFRSF1A|LRP1|CD44|IGF2R|ERBB3
312,40,47,39,CD44|TNFRSF12A|ERBB2|IGF2R|ERBB3|ITGB4|LRP1
313,28,23,25,ERBB3|TGFBR2|TNFRSF1A|IGF2R|CD44|ITGB4|SORT1
314,22,31,34,ERBB2|FLT1|CD44|TNFRSF1A|ITGB5|LRP1|IGF2R
315,21,15,21,SORT1|TGFBR2|IGF2R|ITGA6|ITGB5|TNFRSF1A|ERBB2
316,35,32,40,TNFRSF1A|NTRK2|CD44|ITGB5|ERBB2|ITGB4|ERBB3
317,30,27,31,ERBB3|FLT1|LRP1|IGF2R|ERBB2|ITGB4|TNFRSF1A
318,28,26,26,IGF2R|ACVR1B|SORT1|ITGA6|TNFRSF1A|ITGB1|ERBB3
319,38,23,42,CD44|PLXNA1|ITGB5|SORT1|ERBB3|ERBB2|ITGB1
320,33,25,23,CD44|FLT1|LRP1|ITGA6|ERBB3|ITGB1|TNFRSF1A
321,29,28,32,ITGB5|TGFBR1|IGF2R|TNFRSF1A|CD44|ERBB3|ERBB2
322,24,27,29,IGF2R|LRP5|ITGA6|TNFRSF1A|ITGB1|ITGB5|CD44
323,40,29,32,ITGB1|NRP1|CD44|ITGA6|ERBB3|ITGB4|TNFRSF1A
324,29,23,28,ITGA6|NTRK2|ERBB3|CD44|TNFRSF1A|SORT1|LRP1
325,35,31,44,ERBB2|NTRK2|ERBB3|ITGA6|CD44|ITGB1|TNFRSF1A
326,30,32,29,CD44|TGFBR2|ERBB3|ITGA6|ITGB1|LRP1|ITGB5
327,29,21,27,CD44|TGFBR2|TNFRSF1A|ITGA6|SORT1|ITGB4|ITGB1
328,33,18,15,ERBB3|ACVR1B|ITGB4|ITGA6|TNFRSF1A|SORT1|IGF2R
329,32,30,27,ERBB3|IGF1R|IGF2R|ITGB5|ITGB1|ITGA6|ERBB2
330,28,23,31,LRP1|TGFBR2|CD44|ERBB3|SORT1|ITGB5|ITGB4
331,24,30,22,ITGA6|IGF1R|ERBB2|TNFRSF1A|LRP1|IGF2R|ITGB1
332,29,20,30,ERBB3|TGFBR2|LRP1|ITGB1|ITGA6|ERBB2|TNFRSF1A
333,25,15,23,ITGB4|BMPR2|ITGB5|TNFRSF1A|SORT1|ERBB3|IGF2R
334,29,17,28,TNFRSF1A|FGFR1|ITGA6|ITGB5|IGF2R|ITGB4|ERBB2
335,40,35,39,SORT1|PDGFRB|ITGA6|TNFRSF1A|ITGB4|CD44|ERBB3
336,27,32,31,LRP1|NTRK2|ERBB2|ITGB4|CD44|TNFRSF1A|ITGB5
337,14,20,25,TNFRSF1A|TGFBR1|IGF2R|SORT1|LRP1|ITGB5|ITGB1
338,26,28,27,ITGA6|BMPR2|ITGB1|ITGB4|IGF2R|ERBB2|SORT1
339,24,22,18,TNFRSF1A|LRP5|LRP1|SORT1|ITGA6|ITGB4|ITGB5
340,28,38,32,IGF2R|FLT1|LRP1|ERBB3|SORT1|ITGB4|ERBB2
341,31,35,37,ERBB3|FLT1|LRP1|SORT1|ITGB5|ITGA6|CD44
342,27,36,26,CD44|TGFBR1|ERBB2|ITGB5|IGF2R|ERBB3|LRP1
343,29,31,33,ITGA6|ACVR1B|TNFRSF1A|ITGB5|CD44|SORT1|ERBB2
344,32,32,47,ERBB3|TGFBR2|ITGB1|IGF2R|ERBB2|CD44|ITGA6
345,20,20,19,ITGB4|FLT1|IGF2R|TNFRSF1A|LRP1|ITGB5|SORT1
346,25,30,23,ITGB1|NRP1|ITGB4|ITGA6|SORT1|LRP1|IGF2R
347,24,33,34,LRP1|NTRK2|ERBB2|SORT1|ERBB3|IGF2R|CD44
348,35,38,34,CD44|PDGFRB|SORT1|LRP1|ERBB2|ITGA6|ERBB3
349,35,40,37,ERBB2|TNFRSF12A|CD44|ERBB3|SORT1|ITGB5|IGF2R
350,17,33,33,LRP1|TGFBR2|ERBB2|TNFRSF1A|CD44|SORT1|IGF2R
351,36,28,27,LRP1|IGF1R|IGF2R|CD44|ITGB4|ERBB3|ITGA6
352,19,23,22,LRP1|LRP5|ITGB1|TNFRSF1A|ITGB5|ITGA6|IGF2R
353,30,32,43,ERBB3|PDGFRB|ITGB5|CD44|IGF2R|LRP1|ERBB2
354,26,26,24,ITGA6|FGFR1|TNFRSF1A|IGF2R|ITGB5|SORT1|ERBB3
355,38,29,33,SORT1|NRP1|ITGA6|ITGB4|CD44|ITGB1|ERBB3
356,35,28,31,LRP1|IGF1R|ITGA6|ERBB3|ERBB2|CD44|ITGB5
357,23,31,38,CD44|ACVR1B|LRP1|IGF2R|ITGB4|SORT1|ITGB5
358,33,27,23,CD44|FLT1|IGF2R|TNFRSF1A|ERBB3|ITGA6|ITGB5
359,32,30,32,ERBB2|PLXNA1|CD44|SORT1|TNFRSF1A|ITGB5|ITGB1
360,33,33,31,IGF2R|PLXNA1|ITGB5|LRP1|ITGB1|ERBB2|ERBB3
361,32,31,29,ERBB2|PLXNA1|ITGB1|IGF2R|LRP1|ITGB5|ITGB4
362,30,42,34,ITGB5|FLT1|LRP1|ERBB2|SORT1|ITGA6|ERBB3
363,24,29,24,ITGB4|LRP5|IGF2R|SORT1|ERBB2|CD44|ITGB5
364,26,42,28,ITGA6|TGFBR1|ERBB2|ITGB1|LRP1|CD44|IGF2R
365,30,15,22,ITGA6|NRP2|TNFRSF1A|ITGB5|ERBB3|ITGB1|LRP1
366,24,35,37,ITGB5|IGF1R|ERBB2|IGF2R|ITGA6|ITGB1|SORT1
367,26,26,34,LRP1|PDGFRB|TNFRSF1A|ERBB2|ITGB5|ITGB4|SORT1
368,27,30,32,LRP1|NRP2|SORT1|ITGB1|ITGA6|CD44|ERBB2
369,20,20,25,LRP1|TGFBR1|SORT1|ITGB5|TNFRSF1A|ERBB3|IGF2R
370,32,27,31,TNFRSF1A|ACVR1B|IGF2R|ITGB1|ITGA6|ERBB2|ERBB3
371,22,32,27,LRP1|NTRK2|ITGB4|ERBB2|TNFRSF1A|IGF2R|ITGB1
372,27,18,22,ITGB1|NTRK2|SORT1|ITGB4|ERBB2|ITGB5|CD44
373,31,36,30,TNFRSF1A|FLT1|ERBB2|IGF2R|ITGB4|ITGA6|ITGB5
374,37,29,35,ERBB3|FLT1|ITGB1|ITGB4|SORT1|ERBB2|ITGA6
375,22,33,31,ERBB2|ACVR1B|ITGB5|SORT1|LRP1|CD44|ITGB1
376,23,28,17,ITGA6|LRP5|ITGB5|IGF2R|SORT1|ERBB3|LRP1
377,22,22,20,CD44|BMPR2|ITGA6|TNFRSF1A|LRP1|ITGB1|IGF2R
378,31,32,28,TNFRSF1A|NTRK2|ERBB3|IGF2R|ITGB5|ITGB4|CD44
379,30,35,20,IGF2R|NRP1|ITGB5|ERBB2|ERBB3|ITGB1|CD44
380,34,26,19,ITGB4|NRP2|CD44|ERBB2|ITGA6|ITGB1|LRP1
381,24,33,31,ITGB1|FGFR1|ERBB2|ITGB5|TNFRSF1A|LRP1|ITGB4
382,24,25,21,ITGB1|FLT1|IGF2R|ERBB2|SORT1|ITGA6|TNFRSF1A
383,38,25,17,ITGA6|PLXNA1|LRP1|ITGB4|IGF2R|CD44|TNFRSF1A
384,27,32,32,CD44|TGFBR1|TNFRSF1A|LRP1|IGF2R|ERBB3|ERBB2
385,34,32,29,ERBB3|PLXNA1|IGF2R|TNFRSF1A|SORT1|CD44|ITGB1
386,24,35,23,ITGB1|NRP1|ERBB2|ITGB5|IGF2R|ITGB4|SORT1
387,43,19,21,ERBB3|PLXNA1|CD44|TNFRSF1A|ITGB4|ITGB5|ITGB1
388,36,35,41,CD44|TNFRSF12A|IGF2R|ERBB2|TNFRSF1A|ITGB4|ITGB5
389,36,29,23,ITGB4|IGF1R|TNFRSF1A|CD44|ITGB1|ITGA6|ERBB2
390,25,37,34,ERBB2|NTRK2|SORT1|CD44|IGF2R|ITGB4|TNFRSF1A
391,23,18,17,ITGB5|TGFBR2|ERBB3|CD44|SORT1|IGF2R|TNFRSF1A
392,26,24,24,TNFRSF1A|NRP1|CD44|ITGB1|IGF2R|ERBB3|SORT1
393,23,27,19,ITGB5|TGFBR1|ERBB2|ITGB4|TNFRSF1A|SORT1|IGF2R
394,42,27,28,ITGB4|FLT1|ERBB3|ERBB2|ITGB1|ITGA6|CD44
395,39,29,45,ITGA6|FLT1|ITGB1|TNFRSF1A|ERBB2|ERBB3|ITGB4
396,28,26,25,LRP1|ACVR1B|ITGB1|TNFRSF1A|ERBB3|ITGA6|SORT1
397,20,29,34,IGF2R|BMPR2|CD44|SORT1|LRP1|ITGB1|ITGA6
398,27,28,29,ITGA6|NRP2|IGF2R|SORT1|LRP1|ITGB4|ERBB2
399,28,28,26,LRP1|TGFBR2|SORT1|ITGB4|IGF2R|ERBB3|ITGA6
400,30,40,32,TNFRSF1A|PDGFRB|ITGB1|IGF2R|ITGA6|SORT1|ERBB3
401,33,23,18,TNFRSF1A|FLT1|SORT1|ITGB4|CD44|ITGB1|ERBB3
402,26,35,37,ERBB2|PDGFRB|ITGB1|SORT1|ITGB4|ITGB5|IGF2R
403,35,33,34,ERBB2|NTRK2|ITGA6|ITGB4|TNFRSF1A|LRP1|ERBB3
404,42,40,43,ITGA6|TNFRSF12A|ERBB2|LRP1|ERBB3|CD44|ITGB1
405,35,35,33,ITGB1|NRP1|ERBB3|CD44|ITGB4|IGF2R|ERBB2
406,39,36,35,ERBB2|PDGFRB|ITGB5|ITGA6|IGF2R|ITGB4|ERBB3
407,45,34,41,ERBB3|TNFRSF12A|CD44|ITGA6|ITGB1|ITGB4|IGF2R
408,24,31,24,ITGB5|IGF1R|ITGB4|IGF2R|ERBB2|LRP1|ITGB1
409,22,26,29,LRP1|ACVR1B|SORT1|ITGB5|CD44|ERBB2|ITGB1
410,26,38,35,ITGB4|BMPR2|IGF2R|TNFRSF1A|CD44|ITGB1|ERBB2
411,24,26,40,ITGB1|FLT1|LRP1|TNFRSF1A|ITGB4|IGF2R|ERBB2
412,27,22,34,ITGB1|TGFBR2|IGF2R|ERBB3|SORT1|ERBB2|ITGB4
413,31,25,21,ITGA6|FGFR1|ITGB5|CD44|ERBB3|TNFRSF1A|LRP1
414,34,32,30,SORT1|TNFRSF12A|TNFRSF1A|ITGA6|ERBB2|IGF2R|CD44
415,22,32,25,ITGB1|TGFBR1|IGF2R|ITGB5|TNFRSF1A|ERBB3|LRP1
416,27,21,27,TNFRSF1A|LRP5|SORT1|ERBB3|ITGB5|CD44|ERBB2
417,32,30,28,ERBB3|LRP5|ITGB4|ITGA6|LRP1|TNFRSF1A|ITGB5
418,27,37,36,ERBB3|NTRK2|IGF2R|LRP1|CD44|ITGA6|SORT1
419,21,23,28,LRP1|NRP2|SORT1|TNFRSF1A|IGF2R|ITGB5|ERBB3
420,27,35,37,CD44|ACVR1B|ITGA6|IGF2R|TNFRSF1A|LRP1|ERBB2
421,31,19,21,ERBB3|BMPR2|ITGB5|ITGB4|ITGB1|TNFRSF1A|ERBB2
422,35,21,19,ERBB3|ACVR1B|ITGB4|ITGB5|TNFRSF1A|CD44|ITGB1
423,25,26,26,SORT1|FLT1|ITGB1|ITGB5|ITGA6|CD44|LRP1
424,18,31,31,SORT1|TGFBR1|ERBB2|ITGB1|LRP1|TNFRSF1A|ITGB5
425,36,40,32,CD44|PDGFRB|LRP1|ITGA6|TNFRSF1A|ITGB4|ERBB2
426,25,43,38,IGF2R|TNFRSF12A|CD44|ITGB1|SORT1|TNFRSF1A|LRP1
427,31,26,19,LRP1|BMPR2|TNFRSF1A|ERBB2|ITGB4|ITGA6|CD44
428,20,25,25,TNFRSF1A|FGFR1|ITGB1|ITGB5|IGF2R|LRP1|ITGB4
429,28,26,24,IGF2R|BMPR2|ITGA6|SORT1|ITGB4|LRP1|ERBB3
430,35,35,43,IGF2R|FLT1|ERBB2|LRP1|ERBB3|ITGB4|ITGA6
431,32,18,22,ITGA6|NRP2|CD44|ITGB4|TNFRSF1A|ITGB1|SORT1
432,29,39,34,CD44|NRP1|IGF2R|ITGB5|ERBB2|ITGB1|ITGB4
433,33,19,21,ERBB3|FLT1|CD44|TNFRSF1A|ITGB4|ITGB5|IGF2R
434,24,29,19,ITGB1|FGFR1|ERBB2|ITGB5|TNFRSF1A|ITGA6|IGF2R
435,27,22,27,ITGB5|ACVR1B|CD44|ITGB1|ITGB4|SORT1|TNFRSF1A
436,29,33,23,TNFRSF1A|IGF1R|LRP1|ITGA6|CD44|ERBB2|ITGB5
437,49,43,46,ITGB1|TNFRSF12A|ITGA6|ERBB3|ITGB4|CD44|ERBB2
438,38,38,33,ITGB4|TNFRSF12A|ERBB2|TNFRSF1A|ITGB1|LRP1|ITGA6
439,37,35,36,ERBB2|TNFRSF12A|LRP1|ERBB3|ITGA6|SORT1|ITGB5
440,31,42,37,ERBB2|TNFRSF12A|ITGA6|TNFRSF1A|IGF2R|ITGB1|SORT1
441,35,31,39,ITGB5|ACVR1B|ITGA6|CD44|ITGB1|ERBB3|TNFRSF1A
442,20,28,30,IGF2R|ACVR1B|TNFRSF1A|ITGA6|ITGB5|LRP1|SORT1
443,41,34,35,ITGA6|PLXNA1|ERBB3|LRP1|ITGB5|CD44|ITGB1
444,34,36,33,SORT1|TNFRSF12A|ITGB5|ITGB4|IGF2R|ITGB1|ITGA6
445,27,32,33,LRP1|NRP1|TNFRSF1A|CD44|IGF2R|ITGB4|ERBB2
446,31,29,27,ITGB1|NTRK2|ITGB4|SORT1|ERBB3|ITGA6|IGF2R
447,21,35,40,LRP1|NTRK2|CD44|ITGA6|IGF2R|SORT1|TNFRSF1A
448,31,34,35,ITGB4|ACVR1B|ITGB5|ERBB2|ITGA6|LRP1|ITGB1
449,30,32,28,ERBB3|NRP2|LRP1|ERBB2|ITGB4|IGF2R|ITGB5
450,24,37,34,IGF2R|ACVR1B|SORT1|ITGA6|ITGB5|ITGB1|ERBB2
451,19,16,26,ITGB4|TGFBR1|TNFRSF1A|ITGB5|IGF2R|SORT1|LRP1
452,20,23,27,LRP1|TGFBR2|ITGB4|SORT1|CD44|IGF2R|ITGB1
453,31,29,32,TNFRSF1A|ACVR1B|ITGA6|ITGB4|ERBB2|ITGB5|IGF2R
454,26,30,31,SORT1|FGFR1|ERBB3|ITGA6|TNFRSF1A|IGF2R|ITGB5
455,23,32,26,ERBB3|NTRK2|TNFRSF1A|IGF2R|LRP1|ITGB5|ERBB2
456,23,24,24,TNFRSF1A|FLT1|SORT1|LRP1|IGF2R|CD44|ITGB4
457,23,33,41,ERBB2|NTRK2|ITGB5|IGF2R|SORT1|ITGB1|ERBB3
458,29,27,25,ITGB1|IGF1R|ERBB2|ITGB4|CD44|TNFRSF1A|LRP1
459,33,37,25,ITGB4|PDGFRB|IGF2R|ITGB5|TNFRSF1A|ITGA6|ERBB2
460,23,31,28,ITGB5|LRP5|IGF2R|ERBB3|CD44|SORT1|TNFRSF1A
461,24,29,30,ERBB3|FGFR1|IGF2R|LRP1|ITGA6|SORT1|ITGB5
462,31,40,30,ITGB4|PDGFRB|IGF2R|ITGA6|SORT1|TNFRSF1A|ERBB2
463,40,45,53,IGF2R|TNFRSF12A|CD44|ITGA6|ITGB1|ITGB5|ERBB3
464,27,31,18,SORT1|NTRK2|ITGB4|ERBB2|LRP1|TNFRSF1A|ITGA6
465,23,26,22,IGF2R|FGFR1|ITGB4|TNFRSF1A|CD44|ITGB5|SORT1
466,17,19,24,ITGB5|BMPR2|ITGB1|ITGB4|IGF2R|LRP1|SORT1
467,22,29,22,ITGB4|NRP1|SORT1|LRP1|TNFRSF1A|ERBB2|IGF2R
468,40,27,41,ITGA6|PLXNA1|ITGB5|ERBB2|ERBB3|TNFRSF1A|IGF2R
469,39,35,29,CD44|TNFRSF12A|ITGA6|ITGB1|TNFRSF1A|SORT1|ITGB4
470,41,32,28,ITGB4|PDGFRB|ERBB2|ITGB5|ITGA6|TNFRSF1A|ERBB3
471,30,24,30,TNFRSF1A|NRP1|ITGB4|LRP1|ERBB3|ITGB5|ITGB1
472,32,28,27,ITGB5|BMPR2|ITGA6|ITGB4|IGF2R|ITGB1|ERBB3
473,31,38,31,CD44|PDGFRB|ITGB5|IGF2R|ERBB2|ITGB1|ITGB4
474,34,34,44,ITGA6|FLT1|ITGB1|ITGB4|CD44|ERBB2|LRP1
475,31,41,33,IGF2R|TNFRSF12A|ITGA6|ITGB5|TNFRSF1A|ERBB2|LRP1
476,33,32,18,ERBB3|TGFBR1|ITGB1|ERBB2|TNFRSF1A|ITGB5|ITGB4
477,30,24,24,ITGB1|TGFBR2|SORT1|ERBB3|CD44|TNFRSF1A|ITGB4
478,30,28,19,SORT1|IGF1R|ERBB2|ERBB3|ITGB4|TNFRSF1A|IGF2R
479,25,25,25,IGF2R|NTRK2|ITGB4|ITGB1|ITGB5|CD44|TNFRSF1A
480,28,37,31,SORT1|LRP5|ITGB4|IGF2R|LRP1|ERBB3|ITGA6
481,26,20,21,ITGB1|FGFR1|ITGB5|IGF2R|CD44|ERBB3|TNFRSF1A
482,20,35,40,ITGB1|NRP2|SORT1|IGF2R|CD44|ERBB2|LRP1
483,19,29,26,ITGB4|BMPR2|IGF2R|ITGB5|LRP1|SORT1|ERBB2
484,33,25,27,ERBB3|LRP5|LRP1|ITGA6|CD44|ITGB4|SORT1
485,31,31,27,SORT1|TNFRSF12A|LRP1|ERBB2|ITGA6|TNFRSF1A|ITGB1
486,32,27,30,ITGB5|FLT1|ITGA6|TNFRSF1A|SORT1|ERBB2|ERBB3
487,26,24,34,SORT1|TGFBR1|ITGA6|TNFRSF1A|ERBB2|LRP1|CD44
488,37,30,31,TNFRSF1A|PLXNA1|ITGA6|ITGB4|IGF2R|SORT1|ERBB2
489,30,25,25,ITGA6|TGFBR2|SORT1|ERBB3|ITGB1|TNFRSF1A|CD44
490,33,26,24,ITGB4|BMPR2|ERBB2|TNFRSF1A|ITGB1|ITGA6|CD44
491,27,38,25,ITGB4|FLT1|CD44|LRP1|IGF2R|ERBB2|ITGB1
492,34,24,36,ITGB4|FLT1|ITGA6|ITGB5|LRP1|ERBB2|CD44
493,24,30,27,IGF2R|TGFBR1|ITGA6|LRP1|SORT1|ITGB1|ITGB4
494,33,33,25,LRP1|BMPR2|ITGB4|CD44|ITGA6|IGF2R|ERBB3
495,34,29,32,ITGA6|NRP2|ERBB2|ITGB4|CD44|LRP1|TNFRSF1A
496,43,24,23,ITGB4|PLXNA1|SORT1|ITGB5|ITGA6|ITGB1|ERBB3
497,27,25,13,ITGB4|NRP2|TNFRSF1A|ITGB1|ITGA6|IGF2R|LRP1
498,23,30,37,LRP1|BMPR2|SORT1|ERBB3|CD44|ITGB1|TNFRSF1A
499,26,28,34,CD44|BMPR2|ITGB1|ERBB2|ITGB4|IGF2R|ITGB5
500,33,29,25,IGF2R|NRP2|ITGB4|SORT1|ITGA6|ERBB3|ITGB5
501,33,35,41,ERBB3|TNFRSF12A|LRP1|SORT1|ITGB5|ITGB1|CD44
502,29,21,28,ITGB1|NRP2|ITGA6|ERBB2|ITGB4|SORT1|IGF2R
503,25,23,31,LRP1|TGFBR2|TNFRSF1A|IGF2R|CD44|ERBB2|ERBB3
504,26,25,19,ITGA6|TGFBR1|ITGB4|ITGB5|SORT1|TNFRSF1A|IGF2R
505,27,28,29,ITGB4|NRP2|CD44|IGF2R|SORT1|ERBB2|TNFRSF1A
506,28,33,33,CD44|NRP2|ITGB1|ERBB3|LRP1|ERBB2|SORT1
507,31,25,43,ERBB3|ACVR1B|LRP1|CD44|IGF2R|ITGA6|TNFRSF1A
508,30,35,28,CD44|TNFRSF12A|IGF2R|SORT1|LRP1|ITGB1|ITGB4
509,31,28,27,CD44|TGFBR1|ITGA6|LRP1|TNFRSF1A|ITGB5|ITGB4
510,30,38,41,ERBB2|PLXNA1|ITGB5|IGF2R|ITGA6|LRP1|SORT1
511,29,34,30,CD44|ACVR1B|ITGB1|SORT1|ITGA6|ERBB2|TNFRSF1A
512,32,25,24,CD44|FLT1|ITGB4|IGF2R|ITGA6|ITGB5|ITGB1
513,33,29,38,CD44|FLT1|ITGB1|ERBB3|ITGA6|ITGB5|IGF2R
514,33,37,33,IGF2R|TNFRSF12A|ERBB3|CD44|SORT1|ERBB2|LRP1
515,27,24,17,LRP1|NRP2|ITGB4|SORT1|TNFRSF1A|ITGB5|ITGA6
516,26,32,24,ITGB1|TGFBR1|SORT1|ITGB4|LRP1|ITGA6|ITGB5
517,38,27,31,ERBB2|PLXNA1|ITGA6|SORT1|TNFRSF1A|ERBB3|IGF2R
518,32,30,38,SORT1|LRP5|CD44|ITGA6|ITGB5|ERBB2|ERBB3
519,24,35,31,ITGA6|TGFBR2|ERBB2|CD44|ITGB1|LRP1|IGF2R
520,26,33,30,SORT1|ACVR1B|ERBB2|ERBB3|IGF2R|CD44|LRP1
521,28,31,34,ITGB1|NRP2|ITGA6|ITGB5|ERBB3|LRP1|SORT1
522,37,27,32,CD44|ACVR1B|ITGB5|ERBB3|ITGA6|TNFRSF1A|ERBB2
523,27,34,29,CD44|NRP2|ERBB2|LRP1|ITGB4|ITGB1|IGF2R
524,29,22,31,TNFRSF1A|TGFBR2|CD44|LRP1|ITGA6|ITGB4|ITGB1
525,29,25,17,TNFRSF1A|BMPR2|ERBB3|ITGB1|SORT1|ITGA6|ERBB2
526,28,31,27,ERBB3|NRP1|ITGB5|TNFRSF1A|LRP1|IGF2R|ITGA6
527,37,27,26,ERBB3|ACVR1B|ERBB2|LRP1|ITGA6|ITGB1|ITGB4
528,37,20,25,ITGA6|PLXNA1|ERBB2|ITGB5|IGF2R|TNFRSF1A|CD44
529,27,27,27,ITGA6|NRP2|TNFRSF1A|ITGB1|ITGB5|CD44|LRP1
530,34,33,32,IGF2R|IGF1R|ERBB2|ITGB5|CD44|ITGB4|ITGA6
531,31,35,30,IGF2R|FLT1|TNFRSF1A|ITGB1|ITGB4|ITGA6|ERBB2
532,38,25,27,ITGA6|IGF1R|ITGB4|ITGB5|SORT1|CD44|ERBB3
533,45,31,28,ITGB5|PLXNA1|SORT1|ITGB4|ERBB3|ERBB2|ITGA6
534,21,26,20,SORT1|FLT1|ITGB1|ITGB5|ERBB3|IGF2R|LRP1
535,40,30,26,ITGA6|NRP1|CD44|TNFRSF1A|ITGB1|ERBB3|ITGB4
536,38,46,46,ITGA6|TNFRSF12A|SORT1|CD44|ITGB5|ERBB3|LRP1
537,39,32,28,TNFRSF1A|TNFRSF12A|SORT1|CD44|ITGB4|ITGB5|ITGA6
538,19,27,17,TNFRSF1A|BMPR2|SORT1|LRP1|CD44|ITGB1|ERBB2
539,39,40,45,IGF2R|TNFRSF12A|ITGB4|ITGB1|ITGB5|ITGA6|CD44
540,29,38,38,CD44|IGF1R|IGF2R|ITGA6|ITGB1|ERBB2|TNFRSF1A
541,24,28,34,TNFRSF1A|IGF1R|ITGB5|ERBB2|CD44|ITGB1|LRP1
542,28,33,33,CD44|TGFBR2|ITGB1|IGF2R|LRP1|ITGB4|ERBB3
543,38,27,29,ITGB5|PLXNA1|CD44|IGF2R|ITGB4|LRP1|ITGA6
544,34,23,18,TNFRSF1A|NRP1|ERBB3|ITGB4|ITGB1|ERBB2|ITGB5
545,48,34,32,ITGB4|PLXNA1|ERBB3|ERBB2|LRP1|CD44|ITGA6
546,28,17,22,LRP1|IGF1R|ITGB4|IGF2R|TNFRSF1A|ERBB3|ITGB1
547,19,26,26,SORT1|NTRK2|LRP1|ERBB3|IGF2R|ITGB1|ITGB5
548,33,28,31,CD44|PLXNA1|IGF2R|SORT1|ERBB2|LRP1|ITGB4
549,23,28,29,SORT1|FLT1|LRP1|IGF2R|CD44|ITGB5|ITGA6
550,35,27,25,LRP1|FGFR1|ITGB4|TNFRSF1A|ERBB3|ITGA6|ERBB2
551,37,32,42,ITGB1|TNFRSF12A|ITGB4|ERBB3|SORT1|ERBB2|IGF2R
552,31,33,30,LRP1|TGFBR1|ITGA6|IGF2R|ERBB2|ITGB4|CD44
553,17,19,23,TNFRSF1A|NRP2|LRP1|ITGB5|IGF2R|SORT1|ERBB2
554,27,26,27,ITGA6|TGFBR2|IGF2R|ITGB1|ERBB3|ERBB2|LRP1
555,24,25,33,ITGB5|TGFBR1|IGF2R|ERBB3|SORT1|ITGB1|ERBB2
556,38,29,29,ERBB3|NTRK2|TNFRSF1A|ITGB5|CD44|ITGA6|ITGB4
557,26,32,31,ERBB2|NTRK2|SORT1|ERBB3|IGF2R|CD44|TNFRSF1A
558,27,31,32,ITGB5|TGFBR2|ERBB2|ERBB3|ITGB1|LRP1|CD44
559,32,34,25,ITGB5|ACVR1B|ITGB1|ITGA6|IGF2R|CD44|ITGB4
